x1,y1,x2,y2,Dist
106,308,350,312,244.0327846827143
109,658,257,661,148.03040228277433
113,532,244,529,131.03434664239754
119,783,340,783,221.0
120,1027,819,1022,699.0178824608138
349,171,525,176,176.07100840286
522,311,795,311,273.0
537,460,796,459,259.0019304947359
590,784,807,784,217.0
594,615,798,609,204.08821622033938
431,172,428,327,155.0290295396317
113,308,113,661,353.0
793,312,817,1021,709.4060896270909
524,172,523,320,148.00337833982033
351,170,348,330,160.0281225285106
538,368,536,458,90.02221947941518
249,390,243,532,142.12670403551894
592,495,595,730,235.01914815605983
119,743,124,1035,292.04280508172087
337,782,338,974,192.00260414900626
590,785,590,973,188.0
