x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
4.781757855256695,0.0,-99.88560853202874,4.781757855256695,0.0,-99.88560853202874,0.0,4.781757855256695,104.66736638728544,-4.781757855256695,0.0,99.88560853202874
47.274724238000694,47.0,-52.99962263225325,47.274724238000694,47.0,-52.99962263225325,47.0,47.274724238000694,147.27434687025394,46.725275761999306,47.0,146.99962263225325
57.03118357572142,55.0,-44.97936933828758,57.03118357572142,55.0,-44.97936933828758,55.0,57.03118357572142,157.010552914009,52.96881642427858,55.0,154.9793693382876
87.74214395153933,82.0,-17.83500279380874,87.74214395153933,82.0,-17.83500279380874,82.0,87.74214395153933,187.57714674534807,76.25785604846067,82.0,181.83500279380874
164.28735513544333,164.0,64.00041286572163,164.28735513544333,164.0,64.00041286572163,164.0,164.28735513544333,264.2869422697217,163.71264486455667,164.0,263.9995871342784
168.29491328543017,165.0,65.05429700861825,168.29491328543017,165.0,65.05429700861825,165.0,168.29491328543017,268.2406162768119,161.70508671456983,165.0,264.9457029913817
593.7042078903204,593.0,493.0024795745054,593.7042078903204,593.0,493.0024795745054,593.0,593.7042078903204,693.701728315815,592.2957921096796,593.0,692.9975204254946
600.3206395362843,599.0,499.0087208241879,600.3206395362843,599.0,499.0087208241879,599.0,600.3206395362843,700.3119187120964,597.6793604637157,599.0,698.9912791758121
830.506977111833,819.0,719.6642588100951,830.506977111833,819.0,719.6642588100951,819.0,830.506977111833,929.8427183017378,807.493022888167,819.0,918.3357411899049
873.4284256782851,872.0,772.010202520049,873.4284256782851,872.0,772.010202520049,872.0,873.4284256782851,973.4182231582361,870.5715743217149,872.0,971.989797479951
877.3385415760707,875.0,775.0273476229775,877.3385415760707,875.0,775.0273476229775,875.0,877.3385415760707,977.3111939530933,872.6614584239293,875.0,974.9726523770225
963.3437224276307,959.0,859.094384164494,963.3437224276307,959.0,859.094384164494,959.0,963.3437224276307,1063.2493382631367,954.6562775723693,959.0,1058.9056158355058
963.2769276820761,960.0,860.0537056966771,963.2769276820761,960.0,860.0537056966771,960.0,963.2769276820761,1063.223221985399,956.7230723179239,960.0,1059.946294303323
1236.783341103197,1137.0,1130.4208786085803,1236.783341103197,1137.0,1130.4208786085803,1137.0,1236.783341103197,1243.3624624946167,1037.216658896803,1137.0,1143.5791213914197
444.998750023437,345.0,344.5000062498828,444.998750023437,345.0,344.5000062498828,345.0,444.998750023437,445.4987437735542,245.00124997656297,345.0,345.4999937501172
942.9712124356311,843.0,840.6006909015449,942.9712124356311,843.0,840.6006909015449,843.0,942.9712124356311,945.3705215340862,743.0287875643689,843.0,845.3993090984551
1062.9974851308357,963.0,962.2907979777955,1062.9974851308357,963.0,962.2907979777955,963.0,1062.9974851308357,1063.70668715304,863.0025148691643,963.0,963.7092020222045
182.95059239414212,83.0,79.8568996102471,182.95059239414212,83.0,79.8568996102471,83.00000000000001,182.95059239414212,186.09369278389502,-16.950592394142106,83.0,86.1431003897529
1237.9998182485706,1138.0,1137.809342577219,1237.9998182485706,1138.0,1137.809342577219,1138.0,1237.9998182485706,1238.1904756713516,1038.0001817514294,1138.0,1138.190657422781
970.9968255983739,871.0,870.2032125450329,970.9968255983739,871.0,870.2032125450329,871.0,970.9968255983739,971.793613053341,771.0031744016261,871.0,871.7967874549671
607.9347424068558,508.0,504.3879008768606,607.9347424068558,508.0,504.3879008768606,508.0,607.9347424068558,611.5468415299952,408.0652575931442,508.0,511.6120991231394
970.992380081522,871.0,869.765526171833,970.992380081522,871.0,869.765526171833,871.0,970.992380081522,972.226853909689,771.007619918478,871.0,872.234473828167
